palm_size,curl_index,curl_middle,curl_ring,curl_pinky,thumb_straight,thumb_lateral,yaw,label,ts
201.02653941023365,0.6862499295367276,0.6889149841966415,0.6673236380580337,0.6797775716872557,0.9989987179705802,-0.5698285825795418,-2.33612060546875,ThumbUp,1761074192.4321725
198.90610982097877,0.6928172399391719,0.6894050504792671,0.6664369956645212,0.6807727564346432,0.9994359187144641,-0.5790048651636437,-4.8009490966796875,ThumbUp,1761074192.768519
197.97071470053345,0.689730588371721,0.6885735565207636,0.6651605869903783,0.6775579645512607,0.9994271268758838,-0.5963514507564202,-1.347503662109375,ThumbUp,1761074193.0399241
193.438226477431,0.6913875533231063,0.6924773576250612,0.6702855230266999,0.662216755511476,0.9995170741569781,-0.6117692063944495,1.812286376953125,ThumbUp,1761074193.2831554
189.67011756683252,0.6912628264015029,0.6916756830821941,0.666403710183527,0.6653710847586823,0.998576655540573,-0.6048684101538255,4.426612854003906,ThumbUp,1761074193.58433
178.51250252645283,0.6860457308601827,0.6906705727328077,0.6668858976040148,0.660795626041757,0.9982910017476426,-0.6079515583189726,2.7532958984375,ThumbUp,1761074193.8405132
170.0855131981474,0.6867253355033581,0.6900576189960036,0.6688197427983296,0.6579479970526939,0.9978350765254153,-0.6161931961422884,7.529029846191406,ThumbUp,1761074194.1458254
164.21114594356732,0.6904715430829492,0.6929181169471151,0.6737148050880212,0.6589714600651282,0.9977741370480628,-0.6088028320404607,6.743659973144531,ThumbUp,1761074194.480876
156.99283238049046,0.6850603966963634,0.6912179600614086,0.6722658847252502,0.657668398676159,0.9992618178867619,-0.624376274913166,4.775962829589844,ThumbUp,1761074194.7552924
151.09877422460553,0.6929541011706184,0.6974911426846747,0.6805970897106883,0.6646500990192062,0.9999615736609505,-0.6537969272187395,4.864006042480469,ThumbUp,1761074195.010328
140.04870943807654,0.6912226169699499,0.6987072543559062,0.681684547626932,0.6654261463487845,0.9999964731837947,-0.6619796871222158,4.8683929443359375,ThumbUp,1761074195.281893
135.57154171881095,0.688884011602175,0.6942454079992874,0.6757403217633352,0.6607515859469789,0.9999997613786251,-0.6548932868151894,3.0821990966796875,ThumbUp,1761074195.5851064
130.60030423162996,0.6864669773297843,0.6936205292128289,0.6775011566558335,0.6642402775214834,0.9999990394998697,-0.6546115783028978,2.9745864868164062,ThumbUp,1761074195.8240528
129.1671225023628,0.6991083555741718,0.7008214838284919,0.6807308780324092,0.6626195972568949,0.9994628474950062,-0.6204694454330981,3.1401824951171875,ThumbUp,1761074196.1440089
124.02470066244399,0.7006943589150166,0.6972590999994847,0.6767320815984516,0.6616666777949707,0.998351634356519,-0.5897973291979174,2.9825973510742188,ThumbUp,1761074196.448009
120.12018703827536,0.7022460655142654,0.7026195012590332,0.6805141236381672,0.6601868008331487,0.9981729771612227,-0.5761954705579391,0.8495330810546875,ThumbUp,1761074196.8224185
117.73956941321063,0.7120993629412137,0.7152898350569247,0.6948329994247185,0.6724824601516076,0.9999530858274781,-0.6172692923042234,0.41103363037109375,ThumbUp,1761074197.0244474
113.41937553639373,0.7133461900084607,0.7146188105005665,0.6920663335623128,0.6691137223619356,0.9995613220294293,-0.6202223552639123,-1.05926513671875,ThumbUp,1761074197.3284862
108.34844177314142,0.7187948869935364,0.7177983241530379,0.696394563986932,0.6733168275920777,0.9999646154168125,-0.6236023392676194,-0.026092529296875,ThumbUp,1761074197.583946
107.79116877470351,0.7150505107327683,0.7133932938547375,0.6900989308519186,0.6619992702080467,0.9983301817874982,-0.5905406453781535,-0.591278076171875,ThumbUp,1761074198.0641422
214.50006899624154,0.7097258444007012,0.6928857912026215,0.6653057222535478,0.6786379508575483,0.9982073838673851,-0.00035236929109734274,-131.40892028808594,ThumbUp,1761074200.9279332
205.88993930010477,0.7094524584054754,0.6909344371305742,0.665271753920455,0.6825844515361785,0.9989910606649857,-0.04123462230648026,-122.0576286315918,ThumbUp,1761074201.1999664
194.31291410103998,0.7080821099184518,0.6947153870675805,0.6701022562371229,0.6720719680537727,0.9991158717966664,-0.03117693153852271,-114.17724609375,ThumbUp,1761074201.4719868
182.8758147713234,0.6958970791278388,0.6875437495321807,0.6627047658727556,0.6831238409587855,0.9997564684812039,-0.0773119518009111,-102.26573944091797,ThumbUp,1761074201.7762609
176.87299970394437,0.7002142001523582,0.6838046755629543,0.6586332160962814,0.6884249377345157,0.998619145213048,-0.092106100196169,-87.13558197021484,ThumbUp,1761074202.06368
164.61715931438206,0.6878893038195649,0.6763963567684544,0.6532237575267387,0.6912455930106002,0.9995158745254104,-0.1431328312944722,-82.94803619384766,ThumbUp,1761074202.3684826
