palm_size,curl_index,curl_middle,curl_ring,curl_pinky,thumb_straight,thumb_lateral,yaw,label,ts
140.33823510774715,0.9905519464290554,0.9878938312115686,0.6641917056421974,0.6815413128830302,0.5793504784350129,0.8491033818930545,87.06985473632812,TwoFingers,1761074407.808801
139.0134786664267,0.9906514187314949,0.9911323829906696,0.6648759584528521,0.6812835940314231,0.5819590208660583,0.8488716961575983,87.29484558105469,TwoFingers,1761074408.0485055
142.11111067743587,0.9913679469266956,0.9894088906178816,0.6646616325566964,0.6789736785604671,0.6188691867057083,0.8114780746028645,85.78216552734375,TwoFingers,1761074408.3067129
142.1445770744316,0.9916433050809403,0.9915344719664727,0.664259160127326,0.6793473569912395,0.6398872792824141,0.7845014942462742,85.4241943359375,TwoFingers,1761074408.544532
141.5230274344415,0.992416475456715,0.9910190717290218,0.6659752811069977,0.6837283795580801,0.6795615772745072,0.7389718239423405,84.97722625732422,TwoFingers,1761074408.784829
141.18933974327018,0.9931019805663034,0.9920621486065718,0.6630929960184108,0.6845323763866276,0.7152457003279553,0.6915613318386832,81.86656951904297,TwoFingers,1761074409.047551
139.27847143123498,0.9892760624066906,0.991033001871871,0.6641782419566927,0.6849887458097069,0.7062202255864028,0.6975448978695765,82.36831665039062,TwoFingers,1761074409.2815542
133.4402821196975,0.9881735846794699,0.9857326798067616,0.6631458722561502,0.6853530075217301,0.733454497595744,0.6809988289986459,80.26397705078125,TwoFingers,1761074409.5201633
125.51407288653698,0.9842176794578625,0.9782331881917868,0.6635773843665382,0.6893315663637289,0.7503692181314544,0.6730739964968347,77.46631622314453,TwoFingers,1761074409.7442658
125.9851074799715,0.9905396356944226,0.985111734354254,0.6626630782382029,0.6854508591907464,0.7430874522102024,0.691570947023965,76.317138671875,TwoFingers,1761074409.9524322
131.9928626061034,0.9925908016121046,0.9888076203430565,0.6651332388956654,0.6835689134048342,0.7448862998170303,0.6732819086924966,78.24443817138672,TwoFingers,1761074410.1447806
138.30525665210573,0.9943108921015001,0.9896761703153935,0.6635708305017426,0.682070301474791,0.7148629571449985,0.7070904950149259,80.86193084716797,TwoFingers,1761074410.3525558
138.09925753878593,0.9969120670761175,0.9906532683095991,0.6648390910151801,0.6792998109075375,0.6732073603901467,0.7578100028632023,81.7623519897461,TwoFingers,1761074410.5153904
138.69257168525968,0.9938808756025864,0.9879602432956259,0.6639641479221673,0.6795389845390062,0.6688803648291618,0.7732916113354591,82.80258178710938,TwoFingers,1761074410.6557333
138.46717845460677,0.9923382672108798,0.9887440870481461,0.6663258659460786,0.6818800441789414,0.6469473326919689,0.8040291340426842,83.49227905273438,TwoFingers,1761074410.8167675
134.45225670736994,0.9934810395792243,0.9954027088805102,0.6675711941099743,0.6808430442222067,0.6148837124896951,0.8505228861017633,85.3708267211914,TwoFingers,1761074410.9922445
134.6214627956166,0.9934871951003701,0.9950183506569186,0.6699717165334919,0.6697612696165995,0.5717227137703093,0.8905249478174507,86.13311767578125,TwoFingers,1761074411.1522954
130.34506315176262,0.9917255497957264,0.9962984481968494,0.6715265571421433,0.6663249728344908,0.5389478922245757,0.9191549145032929,87.75741577148438,TwoFingers,1761074411.3290381
128.88879389856783,0.9916091242451142,0.997526704733206,0.6802928026072951,0.6708256121405888,0.5103454869834209,0.9428773801137956,89.87373352050781,TwoFingers,1761074411.616493
128.63841591837195,0.989922082096743,0.9929462814976219,0.6810297547853953,0.6675110593291605,0.48921668607951896,0.9544642741439678,90.13378143310547,TwoFingers,1761074411.9843318
171.7476889413172,0.9876514723240518,0.9908379944393628,0.6668756684613958,0.6886744961463839,0.566494668953729,0.8244617883527801,103.61370086669922,TwoFingers,1761074413.56825
169.85736699073686,0.9912431412379671,0.9900175141821501,0.6680708138172767,0.6890503624119919,0.5582219068330703,0.8435801822481248,101.94503784179688,TwoFingers,1761074413.792282
